Top 1000 Wordle openers (score = information gain, higher = better)
============================================================
560. TWIRE | score: 27.4951 | visits: 27
561. ANTES | score: 27.4950 | visits: 27
562. GORES | score: 27.4950 | visits: 27
563. SAFER | score: 27.4950 | visits: 27
564. STAVE | score: 27.4950 | visits: 27
565. SPIEL | score: 27.4949 | visits: 27
566. STIED | score: 27.4948 | visits: 27
567. NATES | score: 27.4948 | visits: 27
568. SABLE | score: 27.4947 | visits: 27
569. PORAE | score: 27.4947 | visits: 27
570. STOLN | score: 27.4946 | visits: 27
571. SAREE | score: 27.4946 | visits: 27
572. SLIPE | score: 27.4946 | visits: 27
573. SKART | score: 27.4945 | visits: 27
574. CRONE | score: 27.4945 | visits: 27
575. SCENA | score: 27.4945 | visits: 27
576. SURAT | score: 27.4944 | visits: 27
577. CHARE | score: 27.4944 | visits: 27
578. ROILS | score: 27.4944 | visits: 27
579. SANTO | score: 27.4943 | visits: 27
580. PRATS | score: 27.4943 | visits: 27
581. SCARP | score: 27.4942 | visits: 27
582. YORES | score: 27.4942 | visits: 27
583. WATER | score: 27.4942 | visits: 27
584. SEGNO | score: 27.4942 | visits: 27
585. ARTEL | score: 27.4942 | visits: 27
586. ROADS | score: 27.4941 | visits: 27
587. FARSE | score: 27.4941 | visits: 27
588. UNSET | score: 27.4941 | visits: 27
589. STRIA | score: 27.4941 | visits: 27
590. REWIN | score: 27.4941 | visits: 27
591. YEANS | score: 27.4941 | visits: 27
592. COAST | score: 27.4940 | visits: 27
593. STIME | score: 27.4939 | visits: 27
594. RONDE | score: 27.4939 | visits: 27
595. PRIES | score: 27.4939 | visits: 27
596. BRACE | score: 27.4939 | visits: 27
597. RODES | score: 27.4937 | visits: 27
598. SPREW | score: 27.4936 | visits: 27
599. SATIN | score: 27.4936 | visits: 27
600. TOWNS | score: 27.4935 | visits: 27
601. TINES | score: 27.4934 | visits: 27
602. LANES | score: 27.4933 | visits: 27
603. RAPES | score: 27.4933 | visits: 27
604. SCENT | score: 27.4933 | visits: 27
605. SURED | score: 27.4933 | visits: 27
606. SCEAT | score: 27.4933 | visits: 27
607. GRISE | score: 27.4933 | visits: 27
608. STOVE | score: 27.4933 | visits: 27
609. PETAR | score: 27.4932 | visits: 27
610. ALOED | score: 27.4932 | visits: 27
611. RALES | score: 27.4931 | visits: 27
612. WAIRS | score: 27.4931 | visits: 27
613. TALES | score: 27.4931 | visits: 27
614. LIANE | score: 27.4931 | visits: 27
615. SOLED | score: 27.4929 | visits: 27
616. AURES | score: 27.4929 | visits: 27
617. WARTY | score: 27.4929 | visits: 27
618. SOPRA | score: 27.4928 | visits: 27
619. SLAVE | score: 27.4927 | visits: 27
620. CRAWS | score: 27.4927 | visits: 27
621. GRADE | score: 27.4926 | visits: 27
622. SNIDE | score: 27.4925 | visits: 27
623. SPICE | score: 27.4924 | visits: 27
624. SWALY | score: 27.4924 | visits: 27
